Construct,delta,Response,kappa,FCR,rg
IDRBS-044,0.175553726,Low,0.309635237,0.42,19.6545506
IDRBS-045,0.039897322,Low,0.294179663,0.403508772,21.6795045
IDRBS-046,0.33943444,Medium,0.337295189,0.362068966,22.37760507
IDRBS-047,0.423371615,Medium,0.176104441,0.275862069,22.64180095
IDRBS-048,0.295501804,Medium,0.245038278,0.4,22.660631
IDRBS-049,0.070919404,Low,0.184172399,0.3,21.49551146
IDRBS-050,0.244246193,Medium,0.258120216,0.46,20.17790488
IDRBS-051,0.369108367,Medium,0.195047207,0.38,21.91770318
IDRBS-052,0.25656047,Medium,0.16533912,0.42,20.71384252
IDRBS-053,0.265558034,Medium,0.219190218,0.231884058,24.84716122
IDRBS-054,0.198133195,Low,0.125148412,0.254237288,21.448369
IDRBS-055,0.274558112,Medium,0.273432255,0.32,20.33831915
IDRBS-056,0.38125082,Medium,0.050311692,0.339622642,20.95854558
IDRBS-057,0.298374156,Medium,0.484845832,0.26,19.59908366
IDRBS-058,0.631488902,High,0.241511941,0.261363636,28.67536053
IDRBS-059,0.211905188,Low,0.273624912,0.544117647,27.72481397
IDRBS-060,0.122332029,Low,0.149311982,0.66,21.21936699
IDRBS-061,0.267383201,Medium,0.410518289,0.505050505,30.33471194
IDRBS-062,0.44025243,Medium,0.301269308,0.18,20.51346966
IDRBS-063,0.246570073,Medium,0.181831598,0.275,26.91953305
IDRBS-064,0.634945521,High,0.197874531,0.338842975,33.94847274
IDRBS-065,0.291134481,Medium,0.267985776,0.22,20.02694667
IDRBS-066,0.11574345,Low,0.320051417,0.26,20.9930165
IDRBS-067,0.005659746,Low,0.22228872,0.202380952,29.66105481
IDRBS-068,0.092622157,Low,0.262316093,0.38,21.21188171
IDRBS-069,0.309124027,Medium,0.226024412,0.36,21.9384428
IDRBS-070,0.347578348,Medium,0.188889459,0.28,20.69825998
IDRBS-071,0.352984904,Medium,0.128785409,0.38,21.3586775
IDRBS-072,0.333394831,Medium,0.330999956,0.46,21.974271
IDRBS-073,0.295424209,Medium,0.15858008,0.5,21.46882576
IDRBS-074,0.279400078,Medium,0.6889036,0.52,21.23326871
IDRBS-075,0.172585063,Low,0.605239928,0.716216216,23.56450764
IDRBS-077,0.283749678,Medium,0.128188893,0.483870968,22.36843501
IDRBS-078,0.18401755,Low,0.280469216,0.388888889,24.5293667
IDRBS-079,0.328520193,Medium,0.343218207,0.26,21.61048469
IDRBS-081,0.564446068,High,0.080547735,0.403846154,20.84994021
IDRBS-082,0.252874421,Medium,0.172509015,0.425925926,21.27063837
IDRBS-083,0.32911106,Medium,0.185405165,0.549019608,21.14455875
IDRBS-084,0.371998746,Medium,0.186637588,0.174603175,22.76649327
IDRBS-085,0.616310613,High,0.129326452,0.18079096,43.11977183
IDRBS-086,0.421754627,Medium,0.325913504,0.396396396,31.74452773
IDRBS-088,0.290929746,Medium,0.180582754,0.225352113,25.61044449
IDRBS-089,0.420285869,Medium,0.209202521,0.08,47.76403212
IDRBS-090,0.39912555,Medium,0.262315765,0.09375,30.84509381
IDRBS-094,0.095560055,Low,0.245832518,0.232876712,26.84790352
IDRBS-095,0.083892976,Low,0.311761618,0.35483871,22.2518015
IDRBS-096,0.391917231,Medium,0.124090623,0.295918367,30.78074642
IDRBS-097,0.348692714,Medium,0.270366371,0.390909091,34.30880197
IDRBS-099,0.166355829,Low,0.392994106,0.387096774,32.45491527
IDRBS-101,0.191292982,Low,0.303230062,0.384615385,21.66762926
IDRBS-102,0.678681231,High,0.19104594,0.38,20.57785824
IDRBS-104,0.254711283,Medium,0.091070287,0.44,21.83618275
IDRBS-105,0.388068993,Medium,0.438909978,0.576576577,38.31707337
IDRBS-106,-0.003548844,Low,0.216234297,0.3,52.43192709
IDRBS-107,0.431860194,Medium,0.204436101,0.26,47.37211364
IDRBS-108,0.446876755,Medium,0.191046655,0.392156863,32.68748622
IDRBS-109,0.376526187,Medium,0.141546346,0.410852713,36.0327887
IDRBS-110,0.203230843,Low,0.221913926,0.297297297,32.69468992
IDRBS-111,0.258104328,Medium,0.109351348,0.333333333,22.61537131
IDRBS-112,0.011657749,Low,0.22742755,0.18,19.49872696
IDRBS-113,0.339786931,Medium,0.209199905,0.18,19.73992831
IDRBS-114,0.152193454,Low,0.162124768,0.329113924,26.47277407
IDRBS-115,0.310384681,Medium,0.171233296,0.425531915,37.47647275
IDRBS-116,0.76100219,High,0.340053737,0.111888112,33.9153491
IDRBS-117,0.243525628,Low,0.288595974,0.506849315,26.52377435
IDRBS-118,0.468771679,Medium,0.168826438,0.276422764,37.03482595
IDRBS-119,0.612603428,High,0.173916079,0.24,37.38450511
IDRBS-120,0.541920982,High,0.193843283,0.356435644,29.41004174
IDRBS-121,0.514272232,Medium,0.294209018,0.373333333,34.39522001
IDRBS-122,0.673197193,High,0.171404608,0.22,31.02497578
IDRBS-123,0.659981923,High,0.110562664,0.19,30.94314814
IDRBS-124,0.465584153,Medium,0.078260586,0.295857988,40.80131173
IDRBS-125,0.237972419,Low,0.231044665,0.31,29.82676506
IDRBS-126,0.355993426,Medium,0.211313628,0.18,20.9374248
IDRBS-127,0.44870876,Medium,0.233007543,0.182795699,36.8492113
IDRBS-128,0.34195641,Medium,0.159125611,0.4,32.49099255
IDRBS-129,0.323040445,Medium,0.190695666,0.46,32.00682163
IDRBS-130,0.737421546,High,0.127611801,0.415384615,25.78822832
IDRBS-131,0.178208117,Low,0.121990409,0.52,22.96078205
IDRBS-132,0.267206635,Medium,0.240406536,0.32,20.98284899
IDRBS-133,0.61431083,High,0.26444722,0.145833333,27.93528288
IDRBS-134,0.359163519,Medium,0.116461113,0.46,20.02166482
IDRBS-135,0.241772117,Low,0.748849511,0.12,18.82964405
IDRBS-136,0.269338862,Medium,0.299856946,0.489361702,28.30369675
IDRBS-137,0.20477696,Low,0.171517886,0.477272727,28.21660536
IDRBS-138,0.242975511,Low,0.197063088,0.438596491,21.53201079
IDRBS-139,0.376783085,Medium,0.166266419,0.32173913,31.35489079
IDRBS-140,0.073354896,Low,0.07970334,0.578313253,25.95829674
IDRBS-141,0.628344834,High,0.167801574,0.478873239,33.79480866
IDRBS-142,0.171597444,Low,0.189862244,0.387323944,37.95852707
IDRBS-143,-0.025896667,Low,0.295544982,0.34,19.75030993
IDRBS-144,0.606144794,High,0.092925072,0.262295082,23.60144666
IDRBS-145,0.471785019,Medium,0.107447524,0.603773585,32.48603397
IDRBS-146,0.057637024,Low,0.241027154,0.5,21.00586559
IDRBS-147,0.083735024,Low,0.229559042,0.403508772,22.68112787
IDRBS-148,0.085835077,Low,0.333661884,0.382352941,23.33791359
IDRBS-149,0.195839449,Low,0.370213985,0.541176471,26.76057107
IDRBS-150,0.375959847,Medium,0.205980532,0.266666667,23.3215981
IDRBS-151,0.566619139,High,0.191009395,0.267175573,35.37871329
IDRBS-152,0.295370265,Medium,0.2132622,0.255639098,42.35261178
IDRBS-153,0.414587035,Medium,0.371219963,0.16,47.48976404
IDRBS-154,0.94098639,High,0.332013279,0.08,46.00412471
IDRBS-155,0.656605857,High,0.08769821,0.335,48.40061138
IDRBS-156,0.415878499,Medium,0.077090262,0.294871795,23.79677931
IDRBS-157,0.297124508,Medium,0.183088489,0.25,36.86068353
IDRBS-158,0.178285059,Low,0.158004843,0.115,49.48030237
IDRBS-159,0.437461993,Medium,0.171889156,0.222222222,38.72735596
IDRBS-160,0.289828796,Medium,0.178046301,0.355828221,40.51528849
IDRBS-161,0.470886683,Medium,0.181320906,0.23,34.72733498
IDRBS-162,0.503916721,Medium,0.251130529,0.340909091,28.49304921
IDRBS-163,1.810623523,High,0.071853722,0.504950495,29.92842103
IDRBS-164,0.638611716,High,0.118814945,0.325581395,41.40195106
IDRBS-165,0.323921424,Medium,0.260482572,0.520547945,25.26446644
IDRBS-166,0.36486583,Medium,0.270738661,0.307692308,35.88721603
IDRBS-167,0.555591164,High,0.18790511,0.407894737,25.85347659
IDRBS-168,0.83166922,High,0.257063508,0.316666667,23.34305771
IDRBS-169,0.237251301,Low,0.139055539,0.24,20.55005481
IDRBS-170,0.251058308,Medium,0.235471621,0.28,19.91794312
IDRBS-171,0.267474008,Medium,0.316711485,0.242857143,24.79438417
IDRBS-172,0.193937474,Low,0.255358405,0.269230769,37.20708846
IDRBS-173,0.33064112,Medium,0.126990125,0.366972477,31.24516932
IDRBS-174,0.35559237,Medium,0.152427383,0.300613497,43.35884984
IDRBS-175,0.386208936,Medium,0.233,0.010752688,24.4543901
IDRBS-176,-0.037650721,Low,0.347552955,0.366666667,27.55096443
IDRBS-177,0.70751551,High,0.186730534,0.175,48.35882194
IDRBS-178,-0.064315518,Low,0.197273463,0.232876712,21.9281648
IDRBS-179,0.327451649,Medium,0.557642698,0.520661157,30.55963778
IDRBS-180,0.795408261,High,0.253496446,0.125,45.68275331
IDRBS-181,0.99110842,High,0.17017743,0.162601626,35.18423673
IDRBS-182,0.467460073,Medium,0.194374412,0.12345679,26.62142229
IDRBS-183,0.447856223,Medium,0.148634389,0.18,19.48812281
IDRBS-184,0.892047221,High,0.068169281,0.201257862,39.28513125
IDRBS-185,0.89126066,High,0.084820457,0.222891566,40.25174387
IDRBS-186,0.711409025,High,0.083103955,0.25,39.2602518
IDRBS-187,0.566275133,High,0.073749702,0.211538462,38.49116621
IDRBS-188,0.484175998,Medium,0.081976162,0.201149425,40.39931952
IDRBS-189,0.807652279,High,0.054940628,0.205128205,39.04982521
IDRBS-190,0.654070032,High,0.063499428,0.176100629,39.22941468
IDRBS-191,0.685508333,High,0.077662062,0.194968553,39.20918198
IDRBS-192,0.752538145,High,0.071675895,0.201257862,39.3246797
IDRBS-193,0.979530375,High,0.086392924,0.19375,39.1432286
IDRBS-194,0.363120974,Medium,0.073162381,0.213414634,38.79668862
IDRBS-195,0.251274396,Medium,0.111011412,0.220588235,45.46407814
IDRBS-196,0.430620745,Medium,0.086141005,0.193333333,37.7280921
IDRBS-197,0.540741554,Medium,0.06704108,0.225433526,41.14531118
IDRBS-198,0.424308704,Medium,0.090415046,0.202702703,37.46319155
IDRBS-199,0.766137464,High,0.085988451,0.213836478,38.91036342
IDRBS-200,0.521940523,Medium,0.086110048,0.198630137,37.32412842
